max_power,engine,mileage,selling_price
75.0,1248.0,18.4,11.77528972943772
68.05,998.0,20.3,12.733755386362587
152.87,2179.0,15.1,14.346138809026444
46.3,796.0,19.7,11.982929094215963
37.0,796.0,16.1,11.082142548877775
82.0,1198.0,18.15,12.736700896592344
98.59,1498.0,22.77,13.081541382884074
98.6,1498.0,25.5,13.592367006650065
74.0,1248.0,23.4,13.144124869185841
178.0,2477.0,13.5,14.038654109278484
103.2,1599.0,13.9,12.301382825334498
83.83,2956.0,15.3,12.765688433465597
81.8,1197.0,20.89,13.17115354157376
98.96,1498.0,23.0,13.687677186454389
98.96,1498.0,23.0,13.676247341204819
190.0,1969.0,18.0,15.150511624696614
140.0,2179.0,15.1,13.38472764187182
81.83,1197.0,18.6,13.122363377404328
85.8,1197.0,18.5,12.206072645530174
47.3,796.0,22.74,12.542544882151386
120.0,2179.0,12.05,13.16158409055761
126.32,1582.0,22.32,13.17115354157376
67.1,998.0,19.0,12.367340793126296
85.8,1197.0,19.1,12.89921982609012
70.0,1396.0,23.57,12.577636201962656
120.0,2179.0,15.4,13.764217263576723
112.2,1991.0,14.9,11.951180395901384
157.7,2494.0,19.16,14.508657738524219
67.04,998.0,21.63,13.071070083016778
74.02,1248.0,28.4,13.38472764187182
88.73,1396.0,22.54,13.415032991367148
198.25,2359.0,13.44,13.122363377404328
88.5,1248.0,24.52,13.710150042306449
86.8,1198.0,18.5,12.959844447906553
37.0,796.0,16.1,10.46310334047155
81.8,1197.0,21.21,13.458835614025542
98.96,1498.0,21.7,13.071070083016778
88.73,1396.0,22.54,13.507625778194974
62.0,995.0,18.0,11.652678711655406
82.4,1248.0,19.41689295516926,11.156250521031495
46.3,796.0,19.7,11.918390573078392
66.1,998.0,19.0,12.230760380059866
47.3,796.0,22.74,12.66032791780777
65.0,1461.0,21.03,11.84939770159144
80.0,1197.0,18.5,12.345830240069793
194.4,1991.0,15.0,15.464169183551656
66.0,1896.0,18.7,12.611537753638338
140.0,2179.0,15.1,13.764217263576723
112.0,2498.0,14.0,12.345830240069793
85.0,1197.0,16.1,12.345830240069793
81.8,1197.0,22.0,13.38472764187182
73.97,1186.0,24.0,13.017002861746503
190.0,1995.0,16.78,15.520258650202699
53.3,799.0,25.17,12.577636201962656
71.0,1120.0,24.4,13.287877815881902
55.2,814.0,21.1,12.506177237980511
70.0,1405.0,17.0,11.77528972943772
126.32,1582.0,22.32,13.165422866864775
140.0,2179.0,15.1,13.122363377404328
108.6,1197.0,17.0,13.77468856344402
67.0,999.0,22.0,12.834681304952548
74.0,1248.0,26.59,13.304684934198283
88.76,1248.0,20.77,12.89921982609012
73.8,1248.0,18.2,12.765688433465597
88.5,1248.0,28.09,13.764217263576723
88.7,1396.0,21.38,13.864300722133706
70.0,1405.0,19.1,12.429216196844383
88.5,1248.0,24.3,13.493926933836812
63.0,2523.0,13.6,11.918390573078392
81.8,1197.0,20.4,13.122363377404328
152.87,2179.0,15.1,13.865252649859087
81.8,1197.0,21.21,13.091902108061824
69.0,1396.0,19.09,11.652678711655406
67.04,998.0,23.1,13.208541073645382
98.6,1498.0,21.9,13.753635154246187
90.0,1248.0,19.0,12.429216196844383
103.5,1598.0,14.3,13.37700559577791
99.6,1596.0,14.09,12.429216196844383
157.7,2494.0,19.16,14.508657738524219
88.5,1248.0,24.3,13.369223455335854
67.04,1364.0,23.59,12.866179972011919
88.76,1248.0,20.77,13.38472764187182
171.0,2982.0,11.5,13.864300722133706
47.3,796.0,22.74,12.611537753638338
63.0,1086.0,17.8,11.608235644774552
73.9,1248.0,21.1,12.506177237980511
67.04,998.0,20.51,12.644327576461329
68.0,1086.0,20.3,13.051940913107783
98.6,1498.0,25.8,12.644327576461329
62.0,995.0,18.0,10.714417768752456
81.8,1197.0,21.21,13.304684934198283
138.1,2179.0,14.0,13.737549016494562
147.94,2179.0,14.1,13.128345449081877
181.0,1995.0,16.07,13.9108207377686
120.0,2179.0,12.05,13.071070083016778
177.0,1999.0,19.33,14.978661367769956
81.8,1197.0,22.0,13.38472764187182
69.01,1396.0,25.0,12.2783933071098
47.3,796.0,24.7,12.54966234992025
82.0,1197.0,18.9,12.89921982609012
47.3,796.0,22.74,12.429216196844383
73.97,1186.0,25.4,13.017002861746503
100.6,2494.0,12.99,13.955272500339433
104.68,1586.0,15.0,11.982929094215963
121.36,1497.0,17.0,13.311329476916953
73.94,1248.0,23.2,12.429216196844383
88.7,1199.0,17.5,13.422467969854667
160.0,1368.0,16.0,14.187074114396758
190.0,1995.0,16.78,15.501909511534503
100.0,1493.0,12.0,11.608235644774552
47.3,796.0,24.7,12.644327576461329
73.9,1198.0,16.47,12.765688433465597
98.59,1498.0,22.77,13.329377546788654
75.0,1248.0,18.4,12.429216196844383
82.0,1197.0,18.9,12.89921982609012
46.3,796.0,19.7,11.350406535472453
120.0,2179.0,15.4,13.9108207377686
81.8,1197.0,22.0,13.304684934198283
88.5,1248.0,24.3,13.604789526648622
67.1,998.0,20.2,12.201060103706629
81.86,1197.0,17.19,13.17115354157376
88.7,1199.0,18.7,13.345506928718539
70.0,1405.0,19.4,11.686878772093667
46.3,796.0,19.7,11.407564949312402
76.9,1248.0,22.1,12.779873068457553
68.05,1086.0,19.81,12.429216196844383
168.5,2982.0,12.55,14.316285845876763
58.0,1527.0,20.8,11.350406535472453
89.84,1498.0,22.7,13.592367006650065
73.9,1248.0,19.3,12.345830240069793
82.4,1248.0,19.41689295516926,12.206072645530174
100.6,2494.0,12.99,13.527828485512494
89.75,1498.0,25.01,13.122363377404328
67.0,998.0,21.7,13.071070083016778
95.0,2489.0,14.0,13.049792684569493
81.86,1197.0,18.9,13.253391639810733
73.9,1248.0,19.3,12.506177237980511
67.05,998.0,23.95,12.793859310432293
120.0,2179.0,10.5,12.301382825334498
79.4,1199.0,18.6,11.695247021764184
117.3,1497.0,15.4,13.641157170819497
100.0,1493.0,18.49,13.142164043914272
81.86,1197.0,17.4,13.279367126213993
74.0,1248.0,23.4,13.180632285528304
81.8,1197.0,22.0,13.304684934198283
82.4,1248.0,19.41689295516926,12.429216196844383
85.8,1197.0,19.1,13.262125319779487
171.5,2755.0,11.36,14.269765830241871
74.02,1248.0,28.4,12.983099011217604
82.0,1197.0,18.9,13.049792684569493
105.0,1598.0,20.5,12.89921982609012
74.0,1248.0,25.2,13.122363377404328
67.1,998.0,18.9,12.429216196844383
98.6,1498.0,25.1,13.353475098367715
73.97,1186.0,24.0,13.017002861746503
85.0,1197.0,16.1,13.102160670086809
74.02,1248.0,28.4,13.534473028231162
120.0,1997.0,15.4,13.017002861746503
53.3,799.0,25.17,12.429216196844383
140.0,2179.0,15.1,13.304684934198283
83.8,1461.0,20.45,13.142164043914272
0.0,1248.0,19.41689295516926,12.230760380059866
68.05,1086.0,19.81,12.345830240069793
82.85,1197.0,18.5,12.66032791780777
81.83,1197.0,18.6,13.573438996764546
103.6,1598.0,19.7,12.89921982609012
108.5,1198.0,17.0,13.579788224443204
138.1,2179.0,13.93,12.388394202324129
55.2,814.0,21.1,12.429216196844383
53.3,799.0,25.17,12.765688433465597
95.0,2489.0,13.0,11.703545824578878
82.0,1197.0,18.9,13.017002861746503
88.7,1199.0,17.5,13.487006490992238
74.0,1248.0,23.4,13.180632285528304
100.0,1493.0,18.49,13.458835614025542
88.76,1248.0,20.77,13.208541073645382
64.0,1061.0,18.2,11.918390573078392
88.5,1248.0,28.09,13.664687668229691
47.3,796.0,24.7,12.765688433465597
140.0,2179.0,15.1,13.815510557964274
127.0,1795.0,13.1,11.84939770159144
81.8,1197.0,20.89,13.17115354157376
121.3,1591.0,17.01,13.527828485512494
82.4,1248.0,19.41689295516926,13.304684934198283
63.0,2523.0,13.6,12.611537753638338
46.3,796.0,19.7,11.813030057420567
190.0,1995.0,16.78,15.501909511534503
130.0,1799.0,13.5,11.703545824578878
81.86,1197.0,20.14,13.369223455335854
100.6,2494.0,12.99,13.527828485512494
74.0,1248.0,26.59,13.329377546788654
68.0,1399.0,13.8,11.84939770159144
149.5,1781.0,13.1,11.512925464970229
117.6,1497.0,18.0,13.9108207377686
57.6,936.0,25.44,11.736069016284437
120.0,2179.0,12.05,13.017002861746503
72.4,2499.0,13.58,13.270783382522602
132.0,1799.0,15.5,12.765688433465597
110.0,1499.0,16.5,13.345506928718539
140.0,2179.0,15.1,13.864300722133706
108.5,1498.0,21.5,13.764217263576723
190.0,1995.0,16.78,15.501909511534503
81.8,1197.0,22.0,13.38472764187182
82.0,1197.0,19.1,13.321214236149494
81.8,1197.0,21.01,13.337474757021274
81.86,1197.0,17.4,13.487006490992238
78.0,1497.0,17.7,12.345830240069793
35.0,624.0,26.0,10.915088464214607
82.4,1248.0,19.41689295516926,12.206072645530174
68.0,1399.0,20.0,12.301382825334498
147.8,2393.0,13.68,14.316285845876763
88.5,1248.0,24.3,13.567049198665774
126.32,1582.0,22.32,13.122363377404328
117.6,1497.0,17.4,14.077874822431765
88.5,1248.0,24.52,13.579788224443204
103.5,1598.0,14.3,13.37700559577791
67.05,998.0,23.95,12.721885810807203
81.8,1197.0,22.0,13.38472764187182
67.1,998.0,18.9,11.695247021764184
67.1,998.0,20.92,12.013700752882718
67.0,1198.0,20.63,12.721885810807203
73.9,1248.0,19.3,12.89921982609012
82.4,1248.0,19.41689295516926,11.461632170582678
73.9,1248.0,21.1,12.611537753638338
120.0,2179.0,12.05,13.217673557208654
126.32,1582.0,22.32,12.959844447906553
90.0,1396.0,23.0,12.886641043883259
73.97,1186.0,24.0,13.38472764187182
86.8,1198.0,18.5,12.86099861326992
88.5,1248.0,28.09,13.458835614025542
88.7,1199.0,18.2,13.493926933836812
97.7,1498.0,16.95,13.017002861746503
177.0,1999.0,19.33,14.978661367769956
88.5,1248.0,25.1,13.742939865129438
100.6,2494.0,12.99,13.527828485512494
97.9,1498.0,25.6,13.997832114758229
73.0,1196.0,15.37,12.788288265382837
69.0,1396.0,23.03,12.676076274775909
126.24,1582.0,22.7,13.329377546788654
67.05,998.0,21.79,12.323855681186558
92.0,1597.0,14.2,11.918390573078392
140.0,2179.0,15.1,13.527828485512494
46.3,796.0,19.7,11.407564949312402
81.83,1197.0,18.6,13.16158409055761
69.0,1396.0,23.03,12.206072645530174
105.0,2498.0,16.55,13.710150042306449
46.3,796.0,19.7,11.711776323715394
67.0,999.0,23.01,12.873902018105829
73.0,1196.0,15.37,12.89921982609012
103.5,1598.0,20.5,13.122363377404328
150.0,1984.0,16.8,14.721750953984929
162.0,2696.0,12.83,13.710150042306449
82.4,1248.0,19.41689295516926,10.819778284410283
138.1,2179.0,11.57,13.122363377404328
98.96,1498.0,21.7,13.217673557208654
73.0,1196.0,15.37,12.765688433465597
70.0,1396.0,23.57,12.577636201962656
62.1,2523.0,15.96,12.691580461311874
82.4,1248.0,19.41689295516926,12.206072645530174
126.32,1582.0,22.32,12.959844447906553
190.0,1969.0,18.0,15.150511624696614
126.2,1582.0,19.67,13.710150042306449
69.01,1396.0,25.0,12.86099861326992
138.0,2179.0,13.93,12.594730635321957
75.0,1198.0,18.06,12.611537753638338
47.3,796.0,22.74,12.206072645530174
55.2,814.0,21.1,12.721885810807203
82.4,1248.0,19.41689295516926,12.043553716032399
190.0,1969.0,18.0,15.150511624696614
100.6,2494.0,12.99,13.95614168770402
81.8,1197.0,22.0,13.122363377404328
88.76,1396.0,21.9,12.611537753638338
55.2,814.0,21.1,12.154779351142624
67.04,998.0,20.51,12.971540487669746
67.0,998.0,20.51,12.948009990259552
121.3,1591.0,15.29,13.458835614025542
82.0,1197.0,18.9,12.89921982609012
88.5,1248.0,28.09,13.790192749979985
71.0,1405.0,17.0,11.736069016284437
67.0,999.0,23.01,12.524526376648708
66.1,998.0,19.0,12.611537753638338
80.0,1197.0,17.0,13.304684934198283
67.1,998.0,20.92,11.84939770159144
88.7,1199.0,18.2,13.217673557208654
81.86,1197.0,20.14,13.081541382884074
74.02,1248.0,28.4,13.592367006650065
74.0,1248.0,25.2,13.060487973686241
78.0,1497.0,17.7,12.301382825334498
108.5,1497.0,21.5,13.840203170554645
88.73,1396.0,22.54,13.217673557208654
121.3,1591.0,17.01,13.38472764187182
63.0,995.0,16.0,11.232245487201833
98.6,1498.0,24.5,13.38472764187182
72.4,2499.0,13.58,13.025852477023484
113.42,1497.0,17.7,13.199324418540456
81.83,1197.0,18.6,13.122363377404328
55.2,814.0,21.1,12.577636201962656
81.8,1197.0,20.52,12.959844447906553
190.0,1969.0,18.0,15.150511624696614
67.1,998.0,18.9,12.301382825334498
98.6,1498.0,25.5,13.849911984681606
81.83,1197.0,18.6,13.262125319779487
88.76,1199.0,19.0,13.565766324852886
105.3,1994.0,12.2,12.923909999653127
81.86,1197.0,18.9,13.217673557208654
88.5,1248.0,28.09,13.38472764187182
74.0,1248.0,22.95,13.071070083016778
88.5,1248.0,24.3,13.458835614025542
108.45,1461.0,19.01,13.122363377404328
120.0,2179.0,15.4,13.764217263576723
88.76,1248.0,20.77,13.235692062711331
